Source MAC,Destination MAC,Protocol,Service,Source Address,Destination Address,Sequence Number,Acknowledgement Number,SYN Bit,ACK Bit,FIN Bit,Src Bytes,Duration
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6198170185089111
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6201255321502686
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6204192638397217
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6207304000854492
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6210179328918457
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6212689876556396
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6215193271636963
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6217787265777588
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6220166683197021
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6222608089447021
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.622516393661499
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6226868629455566
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.622849702835083
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6230735778808594
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6234867572784424
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6237516403198242
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6240227222442627
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6242687702178955
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6244938373565674
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6247134208679199
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6249468326568604
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6251983642578125
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.625499963760376
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6257815361022949
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6260907649993896
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6262953281402588
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6264903545379639
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6266794204711914
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6268692016601562
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6270692348480225
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6272573471069336
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6274421215057373
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6276206970214844
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6278395652770996
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6280670166015625
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6283116340637207
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6285297870635986
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6287708282470703
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6289870738983154
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.629183292388916
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6293749809265137
50:9A:4C:1E:05:BE,48:BA:4E:23:EE:49,1,66,10.3.2.222,10.3.3.63,n,n,n,n,n,0,0.6296272277832031
48:BA:4E:23:EE:49,50:9A:4C:1E:05:BE,1,66,10.3.3.63,10.3.2.222,n,n,n,n,n,0,0.6298415660858154
